player_id,player_clean,player_name,season,allstar,allstar_team
mitchdo01,donovan mitchell,Donovan Mitchell,2021,1,Team Durant
lavinza01,zach lavine,Zach LaVine,2021,1,Team Durant
vucevni01,nikola vucevic,Nikola Vučević,2021,1,Team Durant
randlju01,julius randle,Julius Randle,2021,1,Team Durant
conlemi01,mike conley,Mike Conley,2021,1,Team Durant
curryst01,stephen curry,Stephen Curry,2022,1,Team LeBron
jamesle01,lebron james,LeBron James,2022,1,Team LeBron
antetgi01,giannis antetokounmpo,Giannis Antetokounmpo,2022,1,Team LeBron
derozde01,demar derozan,DeMar DeRozan,2022,1,Team LeBron
jokicni01,nikola jokic,Nikola Jokić,2022,1,Team LeBron
doncilu01,luka doncic,Luka Dončić,2022,1,Team LeBron
garlada01,darius garland,Darius Garland,2022,1,Team LeBron
allenja01,jarrett allen,Jarrett Allen,2022,1,Team LeBron
vanvlfr01,fred vanvleet,Fred VanVleet,2022,1,Team LeBron
butleji01,jimmy butler,Jimmy Butler,2022,1,Team LeBron
paulch01,chris paul,Chris Paul,2022,1,Team LeBron
embiijo01,joel embiid,Joel Embiid,2022,1,Team Durant
tatumja01,jayson tatum,Jayson Tatum,2022,1,Team Durant
youngtr01,trae young,Trae Young,2022,1,Team Durant
moranja01,ja morant,Ja Morant,2022,1,Team Durant
wiggian01,andrew wiggins,Andrew Wiggins,2022,1,Team Durant
bookede01,devin booker,Devin Booker,2022,1,Team Durant
murrade01,dejounte murray,Dejounte Murray,2022,1,Team Durant
ballla01,lamelo ball,LaMelo Ball,2022,1,Team Durant
middlkh01,khris middleton,Khris Middleton,2022,1,Team Durant
townska01,karl anthony towns,Karl-Anthony Towns,2022,1,Team Durant
goberru01,rudy gobert,Rudy Gobert,2022,1,Team Durant
lavinza01,zach lavine,Zach LaVine,2022,1,Team Durant
tatumja01,jayson tatum,Jayson Tatum,2023,1,Giannis
mitchdo01,donovan mitchell,Donovan Mitchell,2023,1,Giannis
markkla01,lauri markkanen,Lauri Markkanen,2023,1,Giannis
moranja01,ja morant,Ja Morant,2023,1,Giannis
antetgi01,giannis antetokounmpo,Giannis Antetokounmpo,2023,1,Giannis
adebaba01,bam adebayo,Bam Adebayo,2023,1,Giannis
lillada01,damian lillard,Damian Lillard,2023,1,Giannis
derozde01,demar derozan,DeMar DeRozan,2023,1,Giannis
siakapa01,pascal siakam,Pascal Siakam,2023,1,Giannis
sabondo01,domantas sabonis,Domantas Sabonis,2023,1,Giannis
gilgesh01,shai gilgeous alexander,Shai Gilgeous-Alexander,2023,1,Giannis
holidjr01,jrue holiday,Jrue Holiday,2023,1,Giannis
irvinky01,kyrie irving,Kyrie Irving,2023,1,LeBron
embiijo01,joel embiid,Joel Embiid,2023,1,LeBron
jokicni01,nikola jokic,Nikola Jokić,2023,1,LeBron
doncilu01,luka doncic,Luka Dončić,2023,1,LeBron
jamesle01,lebron james,LeBron James,2023,1,LeBron
brownja02,jaylen brown,Jaylen Brown,2023,1,LeBron
randlju01,julius randle,Julius Randle,2023,1,LeBron
georgpa01,paul george,Paul George,2023,1,LeBron
edwaran01,anthony edwards,Anthony Edwards,2023,1,LeBron
halibty01,tyrese haliburton,Tyrese Haliburton,2023,1,LeBron
foxde01,deaaron fox,De'Aaron Fox,2023,1,LeBron
jacksja02,jaren jackson,Jaren Jackson Jr.,2023,1,LeBron
lillada01,damian lillard,Damian Lillard,2024,1,East
halibty01,tyrese haliburton,Tyrese Haliburton,2024,1,East
antetgi01,giannis antetokounmpo,Giannis Antetokounmpo,2024,1,East
tatumja01,jayson tatum,Jayson Tatum,2024,1,East
adebaba01,bam adebayo,Bam Adebayo,2024,1,East
brownja02,jaylen brown,Jaylen Brown,2024,1,East
banchpa01,paolo banchero,Paolo Banchero,2024,1,East
barnesc01,scottie barnes,Scottie Barnes,2024,1,East
brunsja01,jalen brunson,Jalen Brunson,2024,1,East
maxeyty01,tyrese maxey,Tyrese Maxey,2024,1,East
mitchdo01,donovan mitchell,Donovan Mitchell,2024,1,East
youngtr01,trae young,Trae Young,2024,1,East
gilgesh01,shai gilgeous alexander,Shai Gilgeous-Alexander,2024,1,West
duranke01,kevin durant,Kevin Durant,2024,1,West
jokicni01,nikola jokic,Nikola Jokić,2024,1,West
doncilu01,luka doncic,Luka Dončić,2024,1,West
jamesle01,lebron james,LeBron James,2024,1,West
townska01,karl anthony towns,Karl-Anthony Towns,2024,1,West
curryst01,stephen curry,Stephen Curry,2024,1,West
davisan02,anthony davis,Anthony Davis,2024,1,West
bookede01,devin booker,Devin Booker,2024,1,West
edwaran01,anthony edwards,Anthony Edwards,2024,1,West
leonaka01,kawhi leonard,Kawhi Leonard,2024,1,West
georgpa01,paul george,Paul George,2024,1,West
