player_id,player_name,season,team_abbr,team_next,salary_usd,salary_next,real_salary_change,draft_round,experience,cy_A_up,cy_A_down,cy_B_offseason,cy_B_trade,cy_C,contract_year,cy_exogenous
dudleja01,Jared Dudley,2016,WAS,PHO,4250000.0,10470000.0,0.8325936113021193,1.0,9.0,1,0,1,0,0,1,1
dudleja01,Jared Dudley,2017,PHO,PHO,10470000.0,10000000.0,-0.09307935700193815,1.0,10.0,0,0,0,0,0,0,0
dudleja01,Jared Dudley,2018,PHO,BRK,10000000.0,9530000.0,-0.0731864573110893,1.0,11.0,0,0,1,0,0,1,1
dudleja01,Jared Dudley,2019,BRK,LAL,9530000.0,2564753.0,-0.7486365784925408,1.0,12.0,0,1,1,0,0,1,1
dudleja01,Jared Dudley,2020,LAL,,2564753.0,,,1.0,13.0,,,,0,0,,
dukeda01,David Duke Jr.,2022,BRK,BRK,462629.0,531283.0,0.04349333153637902,,1.0,0,0,0,0,0,0,0
dukeda01,David Duke Jr.,2023,BRK,,531283.0,,,,2.0,,,,0,0,,
duncati01,Tim Duncan,2016,SAS,,5250000.0,,,1.0,19.0,,,,0,0,,
dunlemi02,Mike Dunleavy,2016,CHI,2TM,4837500.0,4837500.0,-0.2561105207226355,1.0,14.0,0,1,,0,0,,
dunlemi02,Mike Dunleavy,2017,2TM,,4837500.0,,,1.0,15.0,,,,1,0,,
dunnkr01,Kris Dunn,2017,MIN,CHI,3872520.0,4046760.0,-0.007730258390401534,1.0,1.0,0,0,1,0,0,1,1
dunnkr01,Kris Dunn,2018,CHI,CHI,4046760.0,4221000.0,0.01439564038102148,1.0,2.0,0,0,0,0,0,0,0
dunnkr01,Kris Dunn,2019,CHI,CHI,4221000.0,5348007.0,0.18338496791934,1.0,3.0,0,0,0,0,1,1,1
dunnkr01,Kris Dunn,2020,CHI,UTA,5348007.0,1000001.0,-0.8130142686799027,1.0,4.0,0,1,1,0,0,1,1
dunnkr01,Kris Dunn,2023,UTA,UTA,1000001.0,2586484.0,1.3525569915606552,1.0,7.0,1,0,0,0,0,1,0
dunnkr01,Kris Dunn,2024,UTA,,2586484.0,,,1.0,8.0,,,,0,0,,
duranke01,Kevin Durant,2016,OKC,GSW,21971850.0,26540100.0,-0.10144566028945312,1.0,9.0,0,0,1,0,0,1,1
duranke01,Kevin Durant,2017,GSW,GSW,26540100.0,25000000.0,-0.10555544890658775,1.0,10.0,0,0,0,0,0,0,0
duranke01,Kevin Durant,2018,GSW,GSW,25000000.0,30000000.0,0.16702649656526014,1.0,11.0,0,0,0,0,0,0,0
duranke01,Kevin Durant,2019,GSW,BRK,30000000.0,40108950.0,0.24873266269477545,1.0,12.0,0,0,1,0,0,1,1
duranke01,Kevin Durant,2021,BRK,BRK,40108950.0,42018900.0,0.016861548890018785,1.0,14.0,0,0,0,0,0,0,0
duranke01,Kevin Durant,2022,BRK,2TM,42018900.0,44119845.0,-0.04591754244139035,1.0,15.0,0,0,,0,0,,
duranke01,Kevin Durant,2023,2TM,PHO,44119845.0,47649433.0,-0.017676462341979615,1.0,16.0,,,,1,0,,
duranke01,Kevin Durant,2024,PHO,,47649433.0,,,1.0,17.0,,,,0,0,,
durenja01,Jalen Duren,2023,DET,DET,4124280.0,4330680.0,-0.0449222153000397,1.0,1.0,0,0,0,0,0,0,0
durenja01,Jalen Duren,2024,DET,,4330680.0,,,1.0,2.0,,,,0,0,,
easonta01,Tari Eason,2023,HOU,HOU,3359160.0,3527160.0,-0.044951862965741496,1.0,1.0,0,0,0,0,0,0,0
easonta01,Tari Eason,2024,HOU,,3527160.0,,,1.0,2.0,,,,0,0,,
eddieja01,Jarell Eddie,2016,WAS,,349032.0,,,,1.0,,,,0,0,,
edwaran01,Anthony Edwards,2021,MIN,MIN,9757440.0,10245480.0,0.019189309995784498,1.0,1.0,0,0,0,0,0,0,0
edwaran01,Anthony Edwards,2022,MIN,MIN,10245480.0,10733400.0,-0.048077447210674196,1.0,2.0,0,0,0,0,0,0,0
edwaran01,Anthony Edwards,2023,MIN,MIN,10733400.0,13534817.0,0.14695364257419663,1.0,3.0,0,0,0,0,1,1,1
edwaran01,Anthony Edwards,2024,MIN,,13534817.0,,,1.0,4.0,,,,0,0,,
edwarca01,Carsen Edwards,2020,BOS,BOS,1228026.0,1517981.0,0.23611470766905573,2.0,1.0,0,0,0,0,1,1,1
edwarca01,Carsen Edwards,2021,BOS,,1517981.0,,,2.0,2.0,,,,0,0,,
edwarke02,Kessler Edwards,2022,BRK,2TM,463211.0,1637966.0,2.2130880736701095,2.0,1.0,1,0,,0,1,1,1
edwarke02,Kessler Edwards,2023,2TM,SAC,1637966.0,1927896.0,0.07055629826691079,2.0,2.0,,,,1,0,,
edwarke02,Kessler Edwards,2024,SAC,,1927896.0,,,2.0,3.0,,,,0,0,,
ellebcj01,CJ Elleby,2021,POR,POR,898310.0,1517981.0,0.6402065458147173,2.0,1.0,1,0,0,0,1,1,1
ellebcj01,CJ Elleby,2022,POR,,1517981.0,,,2.0,2.0,,,,0,0,,
ellenhe01,Henry Ellenson,2018,DET,,1780800.0,,,1.0,2.0,,,,0,0,,
ellinwa01,Wayne Ellington,2016,BRK,MIA,1500000.0,6000000.0,1.9755579171094584,1.0,7.0,1,0,1,0,0,1,1
ellinwa01,Wayne Ellington,2017,MIA,MIA,6000000.0,6270000.0,-0.007724520686175684,1.0,8.0,0,0,0,0,0,0,0
ellinwa01,Wayne Ellington,2018,MIA,2TM,6270000.0,8653076.0,0.34215430207242625,1.0,9.0,1,0,,0,0,1,
