player_clean,player_name,player_slug_hh,season,salary_usd
norris cole,Norris Cole,norris-cole,2016,3203780.0
patrick mills,Patrick Mills,patrick-mills,2016,3200000.0
kj mcdaniels,KJ McDaniels,kj-mcdaniels,2016,3189794.0
ben mclemore,Ben McLemore,ben-mclemore,2016,3156600.0
randy foye,Randy Foye,randy-foye,2016,3135000.0
julius randle,Julius Randle,julius-randle,2016,3132240.0
austin rivers,Austin Rivers,austin-rivers,2016,3110796.0
emmanuel mudiay,Emmanuel Mudiay,emmanuel-mudiay,2016,3102240.0
meyers leonard,Meyers Leonard,meyers-leonard,2016,3075879.0
jeremy lamb,Jeremy Lamb,jeremy-lamb,2016,3034356.0
brandon bass,Brandon Bass,brandon-bass,2016,3000000.0
jerryd bayless,Jerryd Bayless,jerryd-bayless,2016,3000000.0
anthony tolliver,Anthony Tolliver,anthony-tolliver,2016,3000000.0
dj augustin,DJ Augustin,dj-augustin,2016,3000000.0
toney douglas,Toney Douglas,toney-douglas,2016,2971568.0
john henson,John Henson,john-henson,2016,2943220.0
luis scola,Luis Scola,luis-scola,2016,2900000.0
moe harkless,Moe Harkless,moe-harkless,2016,2894058.0
kentavious caldwell pope,Kentavious Caldwell-Pope,kentavious-caldwell-pope,2016,2891760.0
kirk hinrich,Kirk Hinrich,kirk-hinrich,2016,2870000.0
nik stauskas,Nik Stauskas,nik-stauskas,2016,2869440.0
udonis haslem,Udonis Haslem,udonis-haslem,2016,2854940.0
brian roberts,Brian Roberts,brian-roberts,2016,2854940.0
dante cunningham,Dante Cunningham,dante-cunningham,2016,2850000.0
stanley johnson,Stanley Johnson,stanley-johnson,2016,2841960.0
omri casspi,Omri Casspi,omri-casspi,2016,2836186.0
manu ginobili,Manu Ginobili,manu-ginobili,2016,2814000.0
bismack biyombo,Bismack Biyombo,bismack-biyombo,2016,2814000.0
darrell arthur,Darrell Arthur,darrell-arthur,2016,2814000.0
sonny weems,Sonny Weems,sonny-weems,2016,2814000.0
kevin seraphin,Kevin Seraphin,kevin-seraphin,2016,2814000.0
tibor pleiss,Tibor Pleiss,tibor-pleiss,2016,2700000.0
furkan aldemir,Furkan Aldemir,furkan-aldemir,2016,2683841.0
trey burke,Trey Burke,trey-burke,2016,2658240.0
noah vonleh,Noah Vonleh,noah-vonleh,2016,2637720.0
tyler zeller,Tyler Zeller,tyler-zeller,2016,2616975.0
frank kaminsky,Frank Kaminsky,frank-kaminsky,2016,2612520.0
cj mccollum,CJ McCollum,cj-mccollum,2016,2525160.0
elfrid payton,Elfrid Payton,elfrid-payton,2016,2505720.0
joel anthony,Joel Anthony,joel-anthony,2016,2500000.0
leandro barbosa,Leandro Barbosa,leandro-barbosa,2016,2500000.0
james johnson,James Johnson,james-johnson,2016,2500000.0
terrence jones,Terrence Jones,terrence-jones,2016,2489529.0
justise winslow,Justise Winslow,justise-winslow,2016,2481720.0
shelvin mack,Shelvin Mack,shelvin-mack,2016,2433333.0
michael carter williams,Michael Carter-Williams,michael-carter-williams,2016,2399040.0
andrew nicholson,Andrew Nicholson,andrew-nicholson,2016,2380593.0
doug mcdermott,Doug McDermott,doug-mcdermott,2016,2380440.0
tony wroten,Tony Wroten,tony-wroten,2016,2346760.0
jordan farmar,Jordan Farmar,jordan-farmar,2016,2291455.0
evan fournier,Evan Fournier,evan-fournier,2016,2288204.0
steven adams,Steven Adams,steven-adams,2016,2279040.0
myles turner,Myles Turner,myles-turner,2016,2277960.0
jared sullinger,Jared Sullinger,jared-sullinger,2016,2269260.0
aaron brooks,Aaron Brooks,aaron-brooks,2016,2250000.0
trey lyles,Trey Lyles,trey-lyles,2016,2239800.0
ramon sessions,Ramon Sessions,ramon-sessions,2016,2170465.0
kelly olynyk,Kelly Olynyk,kelly-olynyk,2016,2165160.0
zach lavine,Zach LaVine,zach-lavine,2016,2148360.0
kendall marshall,Kendall Marshall,kendall-marshall,2016,2144772.0
jeremy lin,Jeremy Lin,jeremy-lin,2016,2139000.0
gary neal,Gary Neal,gary-neal,2016,2139000.0
miles plumlee,Miles Plumlee,miles-plumlee,2016,2109293.0
maurice williams,Maurice Williams,maurice-williams,2016,2100000.0
danny granger,Danny Granger,danny-granger,2016,2100000.0
steve blake,Steve Blake,steve-blake,2016,2100000.0
joe ingles,Joe Ingles,joe-ingles,2016,2100000.0
beno udrih,Beno Udrih,beno-udrih,2016,2080465.0
shabazz muhammad,Shabazz Muhammad,shabazz-muhammad,2016,2056920.0
devin booker,Devin Booker,devin-booker,2016,2055840.0
tj warren,TJ Warren,tj-warren,2016,2041080.0
perry jones,Perry Jones,perry-jones,2016,2038206.0
cameron payne,Cameron Payne,cameron-payne,2016,2021520.0
festus ezeli,Festus Ezeli,festus-ezeli,2016,2008748.0
kent bazemore,Kent Bazemore,kent-bazemore,2016,2000000.0
dejuan blair,DeJuan Blair,dejuan-blair,2016,2000000.0
giannis antetokounmpo,Giannis Antetokounmpo,giannis-antetokounmpo,2016,1953960.0
adreian payne,Adreian Payne,adreian-payne,2016,1938840.0
kelly oubre,Kelly Oubre,kelly-oubre,2016,1920240.0
jusuf nurkic,Jusuf Nurkic,jusuf-nurkic,2016,1842000.0
lucas nogueira,Lucas Nogueira,lucas-nogueira,2016,1842000.0
terry rozier,Terry Rozier,terry-rozier,2016,1824360.0
dennis schroeder,Dennis Schroeder,dennis-schroeder,2016,1763400.0
zoran dragic,Zoran Dragic,zoran-dragic,2016,1756500.0
james young,James Young,james-young,2016,1749840.0
rashad vaughn,Rashad Vaughn,rashad-vaughn,2016,1733040.0
ryan kelly,Ryan Kelly,ryan-kelly,2016,1724250.0
joffrey lauvergne,Joffrey Lauvergne,joffrey-lauvergne,2016,1709719.0
louis amundson,Louis Amundson,louis-amundson,2016,1700000.0
tyler ennis,Tyler Ennis,tyler-ennis,2016,1662360.0
sam dekker,Sam Dekker,sam-dekker,2016,1646400.0
lance thomas,Lance Thomas,lance-thomas,2016,1636842.0
sergey karasev,Sergey Karasev,sergey-karasev,2016,1599840.0
gary harris,Gary Harris,gary-harris,2016,1587480.0
jerian grant,Jerian Grant,jerian-grant,2016,1572360.0
tony snell,Tony Snell,tony-snell,2016,1535880.0
bruno caboclo,Bruno Caboclo,bruno-caboclo,2016,1524000.0
delon wright,Delon Wright,delon-wright,2016,1509360.0
wayne ellington,Wayne Ellington,wayne-ellington,2016,1500000.0
shane larkin,Shane Larkin,shane-larkin,2016,1500000.0
david west,David West,david-west,2016,1499187.0
matt bonner,Matt Bonner,matt-bonner,2016,1499187.0
rasual butler,Rasual Butler,rasual-butler,2016,1499187.0
tayshaun prince,Tayshaun Prince,tayshaun-prince,2016,1499187.0
caron butler,Caron Butler,caron-butler,2016,1499187.0
ronnie price,Ronnie Price,ronnie-price,2016,1499187.0
kendrick perkins,Kendrick Perkins,kendrick-perkins,2016,1499187.0
samuel dalembert,Samuel Dalembert,samuel-dalembert,2016,1499187.0
amare stoudemire,Amare Stoudemire,amare-stoudemire,2016,1499187.0
metta world peace,Metta World Peace,metta-world-peace,2016,1499187.0
jason terry,Jason Terry,jason-terry,2016,1499187.0
charlie villanueva,Charlie Villanueva,charlie-villanueva,2016,1499187.0
richard jefferson,Richard Jefferson,richard-jefferson,2016,1499187.0
james jones,James Jones,james-jones,2016,1499187.0
andre miller,Andre Miller,andre-miller,2016,1490369.0
gorgui dieng,Gorgui Dieng,gorgui-dieng,2016,1474440.0
mitch mcgary,Mitch McGary,mitch-mcgary,2016,1463040.0
justin anderson,Justin Anderson,justin-anderson,2016,1449000.0
marcus thornton,Marcus Thornton,marcus-thornton,2016,1436891.0
pablo prigioni,Pablo Prigioni,pablo-prigioni,2016,1421348.0
mason plumlee,Mason Plumlee,mason-plumlee,2016,1415520.0
jordan adams,Jordan Adams,jordan-adams,2016,1404600.0
andrea bargnani,Andrea Bargnani,andrea-bargnani,2016,1362897.0
gerald green,Gerald Green,gerald-green,2016,1362897.0
solomon hill,Solomon Hill,solomon-hill,2016,1358880.0
aaron gray,Aaron Gray,aaron-gray,2016,1356146.0
sasha vujacic,Sasha Vujacic,sasha-vujacic,2016,1356146.0
rodney hood,Rodney Hood,rodney-hood,2016,1348440.0
matthew dellavedova,Matthew Dellavedova,matthew-dellavedova,2016,1347276.0
bobby portis,Bobby Portis,bobby-portis,2016,1344120.0
rondae hollis jefferson,Rondae Hollis-Jefferson,rondae-hollis-jefferson,2016,1335480.0
alonzo gee,Alonzo Gee,alonzo-gee,2016,1320000.0
tim hardaway,Tim Hardaway Jr,tim-hardaway-jr,2016,1304520.0
nikola jokic,Nikola Jokic,nikola-jokic,2016,1300000.0
shabazz napier,Shabazz Napier,shabazz-napier,2016,1294440.0
tyus jones,Tyus Jones,tyus-jones,2016,1282080.0
sasha kaun,Sasha Kaun,sasha-kaun,2016,1276000.0
cartier martin,Cartier Martin,cartier-martin,2016,1270964.0
brandon rush,Brandon Rush,brandon-rush,2016,1270964.0
luc mbah a moute,Luc Mbah a Moute,luc-richard-mbah-a-moute,2016,1270964.0
reggie bullock,Reggie Bullock,reggie-bullock,2016,1252400.0
clint capela,Clint Capela,clint-capela,2016,1242720.0
jarell martin,Jarell Martin,jarell-martin,2016,1230840.0
andre roberson,Andre Roberson,andre-roberson,2016,1210800.0
pj hairston,PJ Hairston,pj-hairston,2016,1201440.0
boban marjanovic,Boban Marjanovic,boban-marjanovic,2016,1200000.0
tyler hansbrough,Tyler Hansbrough,tyler-hansbrough,2016,1185784.0
jeremy evans,Jeremy Evans,jeremy-evans,2016,1185784.0
