wins,losses,made_playoffs,playoff_round_reached,team_abbr,season,fetch_error,win_pct
24.0,58.0,0,0,DAL,2018,,0.2926829268292683
46.0,36.0,0,0,DEN,2018,,0.5609756097560976
39.0,43.0,0,0,DET,2018,,0.4756097560975609
58.0,24.0,1,5,GSW,2018,,0.7073170731707317
65.0,17.0,1,3,HOU,2018,,0.7926829268292683
48.0,34.0,1,1,IND,2018,,0.5853658536585366
42.0,40.0,0,0,LAC,2018,,0.5121951219512195
35.0,47.0,0,0,LAL,2018,,0.4268292682926829
22.0,60.0,0,0,MEM,2018,,0.2682926829268293
44.0,38.0,1,1,MIA,2018,,0.5365853658536586
44.0,38.0,1,1,MIL,2018,,0.5365853658536586
47.0,35.0,1,1,MIN,2018,,0.573170731707317
48.0,34.0,1,2,NOP,2018,,0.5853658536585366
29.0,53.0,0,0,NYK,2018,,0.3536585365853658
48.0,34.0,1,1,OKC,2018,,0.5853658536585366
25.0,57.0,0,0,ORL,2018,,0.3048780487804878
52.0,30.0,1,2,PHI,2018,,0.6341463414634146
21.0,61.0,0,0,PHO,2018,,0.2560975609756097
49.0,33.0,1,1,POR,2018,,0.5975609756097561
27.0,55.0,0,0,SAC,2018,,0.3292682926829268
47.0,35.0,1,1,SAS,2018,,0.573170731707317
59.0,23.0,1,2,TOR,2018,,0.7195121951219512
48.0,34.0,1,2,UTA,2018,,0.5853658536585366
43.0,39.0,1,1,WAS,2018,,0.524390243902439
29.0,53.0,0,0,ATL,2019,,0.3536585365853658
49.0,33.0,1,2,BOS,2019,,0.5975609756097561
42.0,40.0,1,1,BRK,2019,,0.5121951219512195
22.0,60.0,0,0,CHI,2019,,0.2682926829268293
39.0,43.0,0,0,CHO,2019,,0.4756097560975609
19.0,63.0,0,0,CLE,2019,,0.2317073170731707
33.0,49.0,0,0,DAL,2019,,0.4024390243902439
54.0,28.0,1,2,DEN,2019,,0.6585365853658537
41.0,41.0,1,1,DET,2019,,0.5
57.0,25.0,1,4,GSW,2019,,0.6951219512195121
53.0,29.0,1,2,HOU,2019,,0.6463414634146342
48.0,34.0,1,1,IND,2019,,0.5853658536585366
48.0,34.0,1,1,LAC,2019,,0.5853658536585366
37.0,45.0,0,0,LAL,2019,,0.4512195121951219
33.0,49.0,0,0,MEM,2019,,0.4024390243902439
39.0,43.0,0,0,MIA,2019,,0.4756097560975609
60.0,22.0,1,3,MIL,2019,,0.7317073170731707
36.0,46.0,0,0,MIN,2019,,0.4390243902439024
33.0,49.0,0,0,NOP,2019,,0.4024390243902439
17.0,65.0,0,0,NYK,2019,,0.2073170731707317
49.0,33.0,1,1,OKC,2019,,0.5975609756097561
42.0,40.0,1,1,ORL,2019,,0.5121951219512195
51.0,31.0,1,2,PHI,2019,,0.6219512195121951
