birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1991-01-06,Baltimore,us,bartowi01,,Will Barton,USA,0
1985-04-30,Baton Rouge,us,bassbr01,,Brandon Bass,USA,0
2000-10-28,Lagos,ng,bassech01,,Charles Bassey,Nigeria,1
1996-01-23,Bloomington,us,bateske01,,Keita Bates-Diop,USA,0
1988-12-14,Lisieux,fr,batumni01,,Nicolas Batum,France,1
1988-08-20,Phoenix,us,bayleje01,,Jerryd Bayless,USA,0
1986-12-09,Gisborne,nz,baynear01,,Aron Baynes,New Zealand,1
1989-07-01,Kelford,us,bazemke01,,Kent Bazemore,USA,0
2000-06-12,Boston,us,bazleda01,,Darius Bazley,USA,0
1993-06-28,St. Louis,us,bealbr01,,Bradley Beal,USA,0
1996-11-26,Atlanta,us,beaslma01,,Malik Beasley,USA,0
1989-01-09,Cheverly,us,beaslmi01,,Michael Beasley,USA,0
2000-10-12,Yakima,us,beaucma01,,MarJon Beauchamp,USA,0
1986-03-25,San Giovanni in Persiceto,it,belinma01,,Marco Belinelli,Italy,1
1995-01-07,Los Angeles,us,belljo01,,Jordan Bell,USA,0
1994-07-04,Charlotte,us,bembrde01,,DeAndre' Bembry,USA,0
1997-11-17,Capljina,ba,bendedr01,,Dragan Bender,Bosnia and Herzegovina,1
1993-03-14,Toronto,ca,bennean01,,Anthony Bennett,Canada,1
1992-11-12,Valmiera,lv,bertada01,,Dāvis Bertāns,Latvia,1
1988-07-12,Chicago,us,beverpa01,,Patrick Beverley,USA,0
1999-04-09,Charlotte,us,beysa01,,Saddiq Bey,USA,0
1992-09-28,Montreal,ca,birchkh01,,Khem Birch,Canada,1
1999-07-20,Sagarejo,ge,bitadgo01,,Goga Bitadze,Georgia,1
1999-03-31,Kadıköy,tr,bitimon01,,Onuralp Bitim,Turkey,1
1992-08-28,Lubumbashi,cd,biyombi01,,Bismack Biyombo,Democratic Republic of the Congo,1
1988-05-09,Belgrade,rs,bjeline01,,Nemanja Bjelica,Serbia,1
2004-01-20,Duncanville,us,blackan01,,Anthony Black,USA,0
1999-06-14,Concord,us,blackle01,,Leaky Black,USA,0
1991-11-22,Memphis,us,blackta01,,Tarik Black,USA,0
1989-04-22,Pittsburgh,us,blairde01,,DeJuan Blair,USA,0
1996-10-04,Watertown,us,blakean01,,Antonio Blakeney,USA,0
1980-02-26,Hollywood,us,blakest01,,Steve Blake,USA,0
1989-12-09,Birmingham,us,bledser01,,Eric Bledsoe,USA,0
1995-11-24,Hot Springs,us,blevike01,,Keljin Blevins,USA,0
1992-08-18,Belgrade,rs,bogdabo01,,Bogdan Bogdanović,Serbia,1
1989-04-18,Mostar,ba,bogdabo02,,Bojan Bogdanović,Bosnia and Herzegovina,1
1984-11-28,Melbourne,au,bogutan01,,Andrew Bogut,Australia,1
