player_clean,player_name,player_slug_hh,season,salary_usd
daniel theis,Daniel Theis,daniel-theis,2022,8280351.0
lamelo ball,LaMelo Ball,lamelo-ball,2022,8231760.0
seth curry,Seth Curry,seth-curry,2022,8207518.0
jamychal green,JaMychal Green,jamychal-green,2022,8200000.0
cedi osman,Cedi Osman,cedi-osman,2022,8133334.0
evan mobley,Evan Mobley,evan-mobley,2022,8075160.0
deandre hunter,De'Andre Hunter,deandre-hunter,2022,7775400.0
dj augustin,DJ Augustin,dj-augustin,2022,7622467.0
mo bamba,Mo Bamba,mo-bamba,2022,7568743.0
ivica zubac,Ivica Zubac,ivica-zubac,2022,7518518.0
rajon rondo,Rajon Rondo,rajon-rondo,2022,7500000.0
tj mcconnell,TJ McConnell,tj-mcconnell,2022,7500000.0
patrick williams,Patrick Williams,patrick-williams,2022,7422000.0
cory joseph,Cory Joseph,cory-joseph,2022,7310000.0
scottie barnes,Scottie Barnes,scottie-barnes,2022,7280400.0
darius garland,Darius Garland,darius-garland,2022,7040880.0
chris boucher,Chris Boucher,chris-boucher,2022,7020000.0
pj tucker,PJ Tucker,pj-tucker,2022,7000000.0
zach collins,Zach Collins,zach-collins,2022,7000000.0
wendell carter,Wendell Carter,wendell-carter,2022,6920027.0
juan hernangomez,Juan Hernangomez,juan-hernangomez,2022,6803190.0
isaac okoro,Isaac Okoro,isaac-okoro,2022,6720720.0
jalen suggs,Jalen Suggs,jalen-suggs,2022,6592920.0
cameron payne,Cameron Payne,cameron-payne,2022,6500000.0
joakim noah,Joakim Noah,joakim-noah,2022,6431666.0
jarrett culver,Jarrett Culver,jarrett-culver,2022,6395160.0
khem birch,Khem Birch,khem-birch,2022,6350000.0
collin sexton,Collin Sexton,collin-sexton,2022,6349671.0
onyeka okongwu,Onyeka Okongwu,onyeka-okongwu,2022,6104280.0
justin holiday,Justin Holiday,justin-holiday,2022,6006420.0
josh giddey,Josh Giddey,josh-giddey,2022,5988000.0
rudy gay,Rudy Gay,rudy-gay,2022,5890000.0
dennis schroeder,Dennis Schroeder,dennis-schroeder,2022,5890000.0
patrick mills,Patrick Mills,patrick-mills,2022,5890000.0
kevin knox,Kevin Knox,kevin-knox,2022,5845978.0
coby white,Coby White,coby-white,2022,5837760.0
timofey mozgov,Timofey Mozgov,timofey-mozgov,2022,5573333.0
killian hayes,Killian Hayes,killian-hayes,2022,5572680.0
mikal bridges,Mikal Bridges,mikal-bridges,2022,5557725.0
shai gilgeous alexander,Shai Gilgeous-Alexander,shai-gilgeous-alexander,2022,5495532.0
jonathan kuminga,Jonathan Kuminga,jonathan-kuminga,2022,5466360.0
miles bridges,Miles Bridges,miles-bridges,2022,5421493.0
